x,y,intensity,area
6.375138e+02,1.005703e+03,nan,nan
1.603067e+03,9.889833e+02,nan,nan
1.489831e+03,1.023315e+03,nan,nan
9.812104e+02,1.025194e+03,nan,nan
7.933664e+02,1.031260e+03,nan,nan
1.739256e+03,1.013089e+03,nan,nan
1.414541e+03,1.029971e+03,nan,nan
1.655433e+03,1.028184e+03,nan,nan
1.176752e+03,1.028681e+03,nan,nan
1.113002e+03,1.042387e+03,nan,nan
1.931556e+03,1.063321e+03,nan,nan
1.701879e+03,1.065058e+03,nan,nan
1.846275e+03,1.053920e+03,nan,nan
1.242696e+03,1.053592e+03,nan,nan
1.449700e+03,1.078432e+03,nan,nan
1.039181e+03,1.079258e+03,nan,nan
7.915198e+02,1.108267e+03,nan,nan
1.790674e+03,1.099028e+03,nan,nan
9.627603e+02,1.095260e+03,nan,nan
8.752230e+02,1.090751e+03,nan,nan
1.577424e+03,1.080056e+03,nan,nan
1.729215e+03,1.116647e+03,nan,nan
1.025204e+03,1.131844e+03,nan,nan
9.201027e+02,1.119356e+03,nan,nan
1.640993e+03,1.124085e+03,nan,nan
1.143207e+03,1.144513e+03,nan,nan
1.538634e+03,1.136383e+03,nan,nan
8.714323e+02,1.165760e+03,nan,nan
1.592827e+03,1.169157e+03,nan,nan
1.070625e+03,1.159726e+03,nan,nan
1.379734e+03,1.154693e+03,nan,nan
9.793882e+02,1.176005e+03,nan,nan
1.333232e+03,1.168321e+03,nan,nan
1.483459e+03,1.180898e+03,nan,nan
1.292855e+03,1.186897e+03,nan,nan
1.761471e+03,1.176957e+03,nan,nan
9.206442e+02,1.196578e+03,nan,nan
1.106770e+03,1.262560e+03,nan,nan
1.200065e+03,1.243913e+03,nan,nan
1.265378e+03,1.255302e+03,nan,nan
1.330376e+03,1.255092e+03,nan,nan
1.730968e+03,1.256872e+03,nan,nan
1.827507e+03,1.267713e+03,nan,nan
1.548408e+03,1.260635e+03,nan,nan
1.025016e+03,1.282642e+03,nan,nan
1.889677e+03,1.289972e+03,nan,nan
1.388106e+03,1.298337e+03,nan,nan
1.614842e+03,1.313048e+03,nan,nan
1.684300e+03,1.298695e+03,nan,nan
1.751262e+03,1.313524e+03,nan,nan
1.157685e+03,1.334233e+03,nan,nan
1.322178e+03,1.323766e+03,nan,nan
1.698798e+03,1.350295e+03,nan,nan
1.405993e+03,1.347998e+03,nan,nan
1.975019e+03,1.352283e+03,nan,nan
8.774899e+02,1.358231e+03,nan,nan
9.983141e+02,1.358242e+03,nan,nan
1.823738e+03,1.364537e+03,nan,nan
1.900151e+03,1.362587e+03,nan,nan
1.288676e+03,1.393557e+03,nan,nan
1.561890e+03,1.391501e+03,nan,nan
1.640239e+03,1.386377e+03,nan,nan
1.764532e+03,1.392920e+03,nan,nan
1.068434e+03,1.390759e+03,nan,nan
1.422518e+03,1.400209e+03,nan,nan
1.891693e+03,1.418925e+03,nan,nan
9.040912e+02,1.441312e+03,nan,nan
1.628471e+03,1.465191e+03,nan,nan
1.222122e+03,1.460033e+03,nan,nan
1.396718e+03,1.463199e+03,nan,nan
1.582429e+03,1.519705e+03,nan,nan
1.693882e+03,1.527038e+03,nan,nan
9.974799e+02,1.523991e+03,nan,nan
1.764493e+03,1.523359e+03,nan,nan
1.824307e+03,1.537724e+03,nan,nan
1.500294e+03,1.546833e+03,nan,nan
1.232577e+03,1.551476e+03,nan,nan
1.627500e+03,1.565163e+03,nan,nan
1.698839e+03,1.582597e+03,nan,nan
9.538608e+02,1.584252e+03,nan,nan
1.839747e+03,1.576990e+03,nan,nan
1.068484e+03,1.591751e+03,nan,nan
1.888208e+03,1.602648e+03,nan,nan
1.551212e+03,1.608399e+03,nan,nan
1.660794e+03,1.619447e+03,nan,nan
1.269986e+03,1.620272e+03,nan,nan
1.616277e+03,1.636520e+03,nan,nan
1.335680e+03,1.630305e+03,nan,nan
1.387989e+03,1.641741e+03,nan,nan
1.834066e+03,1.644798e+03,nan,nan
1.421866e+03,1.656760e+03,nan,nan
1.910362e+03,1.656702e+03,nan,nan
1.460722e+03,1.661319e+03,nan,nan
1.808205e+03,1.668908e+03,nan,nan
1.513619e+03,1.671418e+03,nan,nan
1.868773e+03,1.690026e+03,nan,nan
1.234338e+03,1.691523e+03,nan,nan
1.757499e+03,1.683798e+03,nan,nan
1.931796e+03,1.705115e+03,nan,nan
1.320874e+03,1.707475e+03,nan,nan
1.584177e+03,1.704816e+03,nan,nan
1.160184e+03,1.709626e+03,nan,nan
1.533072e+03,1.725345e+03,nan,nan
