"","x","y","intensity","area","id","color","acronym","right.left","rostral.caudal","anterior.posterior"
"13918",5036.915,4478.677,3363.5,3363.5,19,"#225ea8","LV",289.942230132496,323.64776341982,295
"13919",5140.735,4479.9585,1301.5,1301.5,19,"#225ea8","LV",306.061945305199,338.787250996016,295
"13920",5199.07,4481.355,1636,1636,19,"#225ea8","LV",323.061109143672,355.288062564557,295
"13921",5671.22,4484.6385,3597.5,3597.5,19,"#225ea8","LV",366.429420448961,405.726423084366,295
"13922",5861.965,4487.827,1431.5,1431.5,19,"#225ea8","LV",371.612206615174,413.731857504051,295
"13923",5399.55,4493.3245,4464.5,4464.5,19,"#225ea8","LV",353.269325050969,388.936562831612,295
"13924",5301.145,4483.629,2697.5,2697.5,19,"#225ea8","LV",344.310063941764,378.039181545423,295
"13925",5483.8,4490.0425,2508,2508,19,"#225ea8","LV",358.588519191572,395.591807642561,295
"13926",5702.715,4496.661,2462.5,2462.5,19,"#225ea8","LV",367.093344403842,407.302964137534,295
"13927",5170.74,4503.998,4404.5,4404.5,19,"#225ea8","LV",311.295019539438,344.345051290771,295
"13928",5529.35,4491.3415,4298.5,4298.5,19,"#225ea8","LV",360.692249225156,398.216892952121,295
"13929",5439.755,4497.3145,2916,2916,19,"#225ea8","LV",356.059486006591,392.789907038513,295
"13930",5214.59,4503.594,2037.5,2037.5,19,"#225ea8","LV",324.553571984585,357.280806078828,295
"13931",5071.02,4503.9135,3860.5,3860.5,19,"#225ea8","LV",292.794977430313,327.017241326039,295
"13932",5316.64,4506.4565,2719,2719,19,"#225ea8","LV",344.891090049524,379.370301702142,295
"13933",5572.465,4502.3545,2396.5,2396.5,19,"#225ea8","LV",362.232222514189,400.683361031406,295
"13934",5815.44,4507.3435,2798,2798,19,"#225ea8","LV",370.007155952361,411.972576332766,295
"13935",5125.65,4505.3885,1786,1786,19,"#225ea8","LV",301.356019658509,335.083233296611,295
"13936",5461.385,4514.304,1746,1746,19,"#225ea8","LV",356.450973341598,393.523012568477,295
"13937",5026.43,4516.629,2310.5,2310.5,19,"#225ea8","LV",287.101147893312,322.305713649158,295
"13938",5510.425,4517.5005,1616,1616,19,"#225ea8","LV",358.961686345365,397.025126699539,295
"13939",5105.2,4518.9205,1245.5,1245.5,19,"#225ea8","LV",296.590323726338,330.938217179009,295
"13940",5913.085,4513.032,1179.5,1179.5,19,"#225ea8","LV",372.109019091753,415.513054776931,295
"13941",5982.025,4524.007,2487.5,2487.5,19,"#225ea8","LV",373.233138802394,417.740946575,295
"13942",5408.04,4529.4015,1192.5,1192.5,19,"#225ea8","LV",352.644134999149,389.276134887595,295
"13943",5544.545,4538.465,3637.5,3637.5,19,"#225ea8","LV",359.970887283009,399.016022054701,295
"13944",5329.2,4527.489,1926.5,1926.5,19,"#225ea8","LV",345.278766292853,380.508052973292,295
"13945",5479.575,4536.53,2467,2467,19,"#225ea8","LV",356.89785237724,394.940484308737,295
"13946",5585.195,4543.186,3533,3533,19,"#225ea8","LV",361.450286039146,401.13488839434,295
"13947",5229.06,4530.613,2614.5,2614.5,19,"#225ea8","LV",326.536950897241,360.264323561029,295
"13948",5170.335,4536.72,896.5,896.5,19,"#225ea8","LV",309.080488051315,343.312527937276,295
"13949",5509.455,4542.2985,1401,1401,19,"#225ea8","LV",358.013380357643,396.552630994016,295
"13950",5791.775,4535.577,1915.5,1915.5,19,"#225ea8","LV",368.541139771849,410.717858298591,295
"13951",5929.805,4538.944,2213,2213,19,"#225ea8","LV",371.800669227561,415.721625524415,295
"13952",5135.39,4540.659,3728,3728,19,"#225ea8","LV",299.888347910039,334.642037610079,295
"13953",5761.7,4547.4225,2843,2843,19,"#225ea8","LV",367.400299881499,409.454912413471,295
"13954",5898.74,4537.1165,2494.5,2494.5,19,"#225ea8","LV",371.178223524275,414.712569848231,295
"13955",5953.565,4538.281,2542,2542,19,"#225ea8","LV",372.371202046407,416.484689553397,295
"13956",5061.505,4539.9225,2872,2872,19,"#225ea8","LV",289.626874055268,325.322348776713,295
"13957",5704.78,4536.472,2680,2680,19,"#225ea8","LV",366.026801650295,407.371375951386,295
"13958",5098.115,4554.739,2947.5,2947.5,19,"#225ea8","LV",292.970726684681,328.754575824947,295
"13959",5290.28,4546.722,4111,4111,19,"#225ea8","LV",339.810285278639,375.039033987507,295
"13960",5633,4546.4835,2287,2287,19,"#225ea8","LV",363.294007171277,403.639565069703,295
"13961",5251.215,4550.349,1654.5,1654.5,19,"#225ea8","LV",332.060666469923,366.788628203236,295
"13962",5832.57,4548.848,3435,3435,19,"#225ea8","LV",369.25871577393,412.261138367535,295
"13963",5337.95,4553.383,2679.5,2679.5,19,"#225ea8","LV",345.310014755792,381.539353696326,295
"13964",5732.37,4551.376,2771.5,2771.5,19,"#225ea8","LV",366.319098855017,407.906536836953,295
"13965",5190.015,4551.252,2284,2284,19,"#225ea8","LV",312.836022473499,347.334048777018,295
"13966",5385.25,4555.4075,3067.5,3067.5,19,"#225ea8","LV",349.607970093,386.53869092271,295
"13967",5871.75,4555.6185,2728,2728,19,"#225ea8","LV",370.016662918691,413.614172684401,295
"13968",5034.525,4557.246,1909.5,1909.5,19,"#225ea8","LV",285.645398059134,322.350527644141,295
"13969",5215.695,4561.533,2077,2077,19,"#225ea8","LV",320.474320765181,355.201587285189,295
"13970",5165.185,4559.962,1023,1023,19,"#225ea8","LV",306.061945305199,341.287373960946,295
"13971",5148.86,4567.9445,687.5,687.5,19,"#225ea8","LV",302.062142049088,337.787201810044,295
"13972",5600.81,4563.9455,1004,1004,19,"#225ea8","LV",361.398778740442,401.777102270825,295
"13973",5008.98,4561.9285,921.5,921.5,19,"#225ea8","LV",282.700856940112,319.885045818012,295
"13974",5418.075,4568.207,2264.5,2264.5,19,"#225ea8","LV",351.640677913497,389.271402309694,295
"13975",5532.455,4570.156,1693.5,1693.5,19,"#225ea8","LV",358.193633579117,397.699951549116,295
"13976",5621.46,4569.6885,669.5,669.5,19,"#225ea8","LV",362.178334209226,402.940174075456,295
"13977",5045.905,4580.933,3632.5,3632.5,19,"#225ea8","LV",285.533864001721,322.912711291752,295
"13978",5166.845,4580.963,926.5,926.5,19,"#225ea8","LV",303.706596935725,339.490262565088,295
"13979",5672.16,4589.1455,3566.5,3566.5,19,"#225ea8","LV",363.294239183754,405.103830786682,295
"13980",5347.195,4583.506,1940,1940,19,"#225ea8","LV",345.060027052285,382.289390585805,295
"13981",5932.825,4582.6,4344,4344,19,"#225ea8","LV",370.846949989036,415.589059626646,295
"13982",5128.925,4585.8075,1951,1951,19,"#225ea8","LV",296.562412571934,333.286980473169,295
"13983",5582.555,4590.1165,2447,2447,19,"#225ea8","LV",359.884569040604,400.605641413478,295
"13984",5548.29,4592.397,3437,3437,19,"#225ea8","LV",358.381303951741,398.84196493687,295
"13985",5629.605,4591.4575,3471,3471,19,"#225ea8","LV",361.86383107509,403.231666142791,295
"13986",5312.465,4594.6495,3286.5,3286.5,19,"#225ea8","LV",340.247763759776,376.976629285328,295
"13987",5489.16,4588.608,1493.5,1493.5,19,"#225ea8","LV",355.594121930061,394.897700166126,295
"13988",5896.995,4597.384,1601,1601,19,"#225ea8","LV",369.537295298515,414.756980382478,295
"13989",5051.14,4602.513,996,996,19,"#225ea8","LV",285.081427631085,323.30181681824,295
"13990",5213.47,4594.095,1671.5,1671.5,19,"#225ea8","LV",316.011277683664,351.744452315115,295
"13991",5508.065,4600.2095,2123.5,2123.5,19,"#225ea8","LV",356.348510750034,396.483966676166,295
"13992",5467.565,4599.5255,2337,2337,19,"#225ea8","LV",353.856882077616,393.194266109483,295
"13993",5601.11,4610.5915,1505.5,1505.5,19,"#225ea8","LV",360.042547358185,401.401714394156,295
"13994",5354.56,4608.653,2103.5,2103.5,19,"#225ea8","LV",344.445534499475,382.129393365585,295
"13995",5097.59,4601.3885,4151,4151,19,"#225ea8","LV",291.062683094781,328.786759136294,295
"13996",5728.06,4599.5065,3983.5,3983.5,19,"#225ea8","LV",364.899560643093,407.697663914901,295
"13997",5181.48,4604.742,1996.5,1996.5,19,"#225ea8","LV",306.134513436586,342.748331521378,295
"13998",5151.345,4608.6775,2576.5,2576.5,19,"#225ea8","LV",299.638131419948,336.759631968018,295
"13999",5220.095,4612.99,641,641,19,"#225ea8","LV",316.534894507726,352.773359696532,295
"14000",5819.105,4619.554,2526.5,2526.5,19,"#225ea8","LV",367.030441749958,411.552175314941,295
"14001",5202.83,4618.925,541.5,541.5,19,"#225ea8","LV",311.523554347035,348.253513396631,295
"14002",5515.745,4624.827,1346,1346,19,"#225ea8","LV",355.65585408057,396.220665138749,295
"14003",5713.265,4625.4995,1911,1911,19,"#225ea8","LV",363.676915291216,406.815662978027,295
"14004",5264.445,4622.502,1795,1795,19,"#225ea8","LV",329.517821464383,366.245631439174,295
"14005",5387.53,4624.106,3022.5,3022.5,19,"#225ea8","LV",346.943458066122,385.60768458584,295
"14006",5238.765,4625.123,2386.5,2386.5,19,"#225ea8","LV",321.557131169592,358.284310100529,295
"14007",5660.65,4624.8785,2034.5,2034.5,19,"#225ea8","LV",361.840135331356,404.223349203166,295
"14008",5152.8,4640.1445,1737.5,1737.5,19,"#225ea8","LV",297.855303177233,336.083516803252,295
"14009",5074.32,4635.419,3734,3734,19,"#225ea8","LV",286.562904431656,325.786611578378,295
"14010",5118.98,4634.6565,2249,2249,19,"#225ea8","LV",291.886354608583,330.393809757187,295
"14011",5454.215,4629.6915,3685.5,3685.5,19,"#225ea8","LV",352.05968275048,392.289882445526,295
"14012",5679.425,4632.917,788,788,19,"#225ea8","LV",362.263991307391,405.083151995564,295
"14013",5185.815,4639.124,2130,2130,19,"#225ea8","LV",306.061945305199,343.787496925877,295
"14014",5216.42,4637.7405,1291,1291,19,"#225ea8","LV",313.915533107004,351.146331327638,295
"14015",5613.03,4634.9285,1460.5,1460.5,19,"#225ea8","LV",359.813329352907,401.973935534125,295
"14016",5037.03,4638.2135,3496,3496,19,"#225ea8","LV",281.926328155096,321.588348300645,295
"14017",5698.945,4638.1605,1195,1195,19,"#225ea8","LV",362.913992145943,406.199535782087,295
"14018",5557.68,4638.075,2637,2637,19,"#225ea8","LV",357.412196799832,398.88937765023,295
"14019",5360.905,4643.7065,1936.5,1936.5,19,"#225ea8","LV",343.681999858022,382.373990870731,295
"14020",5489.42,4641.4555,1358.5,1358.5,19,"#225ea8","LV",353.67211090462,394.246190837207,295
"14021",5510.44,4650.0005,1408.5,1408.5,19,"#225ea8","LV",354.45004641948,395.525704164719,295
"14022",5284.145,4658.1215,4949,4949,19,"#225ea8","LV",332.060666469923,370.288800354139,295
"14023",4990.3525,4649.453,3470,3470,19,"#225ea8","LV",276.458632625134,317.172090924681,295
"14024",5403.7,4649.959,918,918,19,"#225ea8","LV",347.452083115702,387.104376031129,295
"14025",5426.12,4648.804,1153,1153,19,"#225ea8","LV",349.134696617408,389.052335759965,295
